,emp_id,emp_name,department,designation,DOJ,age,experience,salary,no_of_promotions,education,skill_id,skill_name,proficiency_level,no_of_projects_done_in_that_skill,certifications,no_of_projects,manager_rating,promotion,T_id,T_name,project_score,hackerrank_score,completed,skill_category
0,E001,Sharon Burns,Finance,Senior Developer,2006-11-22,45,11,95402.0,1,Bachelors,S003,Node.js,8.0,8.0,No,28,5,0,NA,NA,0.0,0.0,0.0,full_stack
1,E001,Sharon Burns,Finance,Senior Developer,2006-11-22,45,11,95402.0,1,Bachelors,S010,Big Data,3.0,2.0,No,28,5,0,NA,NA,0.0,0.0,0.0,data
2,E002,Hannah Sanchez,Finance,Senior Developer,2010-02-25,41,11,89438.0,3,Masters,S002,React,10.0,9.0,No,20,5,0,NA,NA,0.0,0.0,0.0,full_stack
3,E003,Larry Waters,Marketing,Senior Developer,2019-10-19,44,11,91396.0,2,Masters,S014,Client Management,6.0,10.0,No,2,2,0,T014,Python for Data Analysis,2.0,9.0,0.0,consulting
4,E003,Larry Waters,Marketing,Senior Developer,2019-10-19,44,11,91396.0,2,Masters,S014,Client Management,6.0,10.0,No,2,2,0,T009,DevOps with Docker,12.0,5.0,0.0,consulting
5,E003,Larry Waters,Marketing,Senior Developer,2019-10-19,44,11,91396.0,2,Masters,S014,Client Management,6.0,10.0,No,2,2,0,T010,Node.js Masterclass,46.0,81.0,0.0,consulting
6,E004,Angela Delacruz,Sales,Junior Developer,2014-08-27,24,2,23081.0,0,Bachelors,NA,NA,0.0,0.0,NA,8,1,1,T004,Client Relationship Management,88.0,100.0,1.0,
7,E005,John Cook,HR,Junior Developer,2009-11-20,24,2,22370.0,0,Masters,S002,React,9.0,7.0,No,9,5,0,T008,Data Science Bootcamp,38.0,13.0,1.0,full_stack
8,E005,John Cook,HR,Junior Developer,2009-11-20,24,2,22370.0,0,Masters,S009,Data Visualization,8.0,10.0,Yes,9,5,0,T008,Data Science Bootcamp,38.0,13.0,1.0,data
9,E006,Keith Webb,HR,Mid-level Developer,2020-02-12,30,6,55738.0,3,Bachelors,S001,JavaScript,2.0,2.0,Yes,10,2,1,NA,NA,0.0,0.0,0.0,full_stack
10,E006,Keith Webb,HR,Mid-level Developer,2020-02-12,30,6,55738.0,3,Bachelors,S006,Python,8.0,5.0,No,10,2,1,NA,NA,0.0,0.0,0.0,data
11,E007,John Compton,Sales,Mid-level Developer,2023-04-03,38,6,54856.0,0,Masters,S003,Node.js,7.0,10.0,Yes,4,1,1,T001,SQL Mastery,1.0,5.0,0.0,full_stack
