emp_id,emp_name,skill_id,skill_name,proficiency_level,no_of_projects_done_in_that_skill,certifications
E747,Kelly Meza,S013,Financial Modeling,3,4,No
E1625,Shawn Rocha,S006,Python,5,2,Yes
E2085,Sharon Hayes,S015,Risk Management,5,3,No
E2154,Paul Brown,S012,Project Management,1,1,No
E733,Lisa Vargas,S002,React,3,3,No
E4084,Morgan Mitchell,S011,Consulting Basics,5,4,No
E4555,Sheila Alexander,S001,JavaScript,2,2,Yes
E4101,Samantha Barnes,S009,Data Visualization,5,1,No
E718,Erin Hernandez,S002,React,5,3,No
E4151,Colleen Flowers,S001,JavaScript,5,5,Yes
E2582,Catherine White,S007,SQL,2,1,No
E861,Kristin Elliott,S008,Machine Learning,3,3,Yes
E958,Carla Martin,S008,Machine Learning,2,2,No
E3506,Carlos Robinson,S006,Python,4,2,No
E2626,Megan Caldwell,S012,Project Management,4,4,No
E1718,Mrs. Carol Dominguez,S003,Node.js,1,1,Yes
E2318,Terri Kirk,S012,Project Management,1,3,Yes
E2493,Brenda Howard,S004,Docker,2,4,Yes
E387,Peter Webster,S004,Docker,2,4,Yes
E4594,Gina Ramirez,S004,Docker,1,1,No
E1501,Jennifer Gomez,S012,Project Management,3,1,Yes
E3871,Alisha Jarvis,S009,Data Visualization,5,3,Yes
E2218,Donald Clark,S009,Data Visualization,2,4,No
E1603,Megan Donaldson,S002,React,3,1,Yes
E3710,John Barnett,S012,Project Management,1,4,No
E1753,Sharon Roberson,S003,Node.js,2,3,No
E949,Bobby Bates,S012,Project Management,10,9,Yes
E135,Joseph Collins,S008,Machine Learning,1,2,Yes
E4831,Andrew Browning,S015,Risk Management,3,4,No
E4800,Sarah Sawyer,S014,Client Management,5,4,Yes
E2173,Brandi Kennedy,S009,Data Visualization,4,2,Yes
E015,Kelly Suarez,S004,Docker,3,4,Yes
E171,Antonio Hess,S013,Financial Modeling,5,4,No
E3903,Stephen Buchanan,S001,JavaScript,1,3,No
E3853,Katrina Smith,S008,Machine Learning,1,2,No
E4969,Chelsea Reeves,S002,React,5,4,No
E2084,Daniel Richardson,S010,Big Data,2,4,No
E4678,Elizabeth Nguyen,S004,Docker,3,3,No
E804,Micheal Armstrong,S007,SQL,5,1,No
E3916,Dana Lee,S002,React,3,3,No
E775,Daniel Hicks,S007,SQL,1,1,Yes
E107,Richard Pittman,S003,Node.js,1,4,No
E1491,Julie Larson,S002,React,7,10,Yes
E525,Mario Adams,S007,SQL,4,3,Yes
E142,Robert Moore,S015,Risk Management,4,3,Yes
E3069,Robert Cunningham,S008,Machine Learning,5,4,No
E2689,Patrick Larson,S006,Python,2,2,No
E746,Jeremy Wood PhD,S015,Risk Management,3,2,Yes
E4638,Jennifer Roberts,S011,Consulting Basics,3,4,Yes
E4243,Luke King,S004,Docker,1,1,Yes
E525,Mario Adams,S004,Docker,4,4,No
E956,Jeffrey Little,S006,Python,3,1,Yes
E729,Marissa Chan,S005,HTML/CSS,5,1,No
E2934,Kimberly Hall,S003,Node.js,7,10,No
E4574,Rebecca Leonard,S015,Risk Management,3,3,No
E2334,Ricardo Hall,S014,Client Management,7,5,Yes
E2811,Bryce Griffin,S014,Client Management,5,4,Yes
E3947,Lindsey Vaughn,S015,Risk Management,1,1,No
E1825,Joseph Robinson,S006,Python,3,4,Yes
E4176,Ryan Dyer,S002,React,5,4,No
E1315,Jason Thompson,S006,Python,5,4,No
E752,Melanie Garrett,S014,Client Management,4,1,No
E958,Carla Martin,S002,React,2,2,No
E2158,Zachary Gonzalez,S010,Big Data,7,7,No
E517,Elizabeth Young,S001,JavaScript,3,4,No
E3227,Melissa Horn,S001,JavaScript,3,4,Yes
E4417,Patrick Wright,S002,React,1,4,No
E3421,Stephanie Martin,S003,Node.js,9,12,No
E2509,David Rice,S005,HTML/CSS,10,8,Yes
E2215,Jacqueline Edwards,S005,HTML/CSS,6,8,No
E2285,Matthew Silva,S012,Project Management,5,1,No
E4274,Michael Weiss,S004,Docker,1,4,Yes
E3494,Christopher Martinez,S014,Client Management,5,4,No
E4765,Katrina Oliver,S001,JavaScript,5,1,Yes
E686,Natalie Neal,S004,Docker,1,4,Yes
E4336,Jessica Hanson,S013,Financial Modeling,4,3,No
E1183,Patricia Jackson,S006,Python,3,1,Yes
E4969,Chelsea Reeves,S010,Big Data,7,6,Yes
E1588,James Potts,S010,Big Data,5,3,No
E451,Gary Ponce,S005,HTML/CSS,2,2,No
E3877,Betty Ellison,S001,JavaScript,8,9,Yes
E019,Alexandria Smith,S015,Risk Management,10,10,No
E2189,Jennifer Munoz,S012,Project Management,5,4,No
E627,Joseph Hebert Jr.,S011,Consulting Basics,1,4,Yes
E3452,Jeremy Myers,S009,Data Visualization,8,7,Yes
E3175,Jennifer Hart,S004,Docker,8,9,No
E172,Jason Wade,S001,JavaScript,1,3,Yes
E4599,Marisa Allen,S002,React,2,2,Yes
E4689,Melvin Jimenez,S007,SQL,1,2,No
E689,Michael Cooper,S010,Big Data,2,1,Yes
E3404,Melissa Moon,S009,Data Visualization,9,5,Yes
E799,Patrick Rhodes,S002,React,7,8,Yes
E1811,Anthony Alexander,S012,Project Management,5,4,Yes
E1619,Troy Hahn,S004,Docker,4,4,No
E4821,Philip Romero,S001,JavaScript,1,4,No
E3970,Hunter May,S008,Machine Learning,7,10,Yes
E2133,Tammy Carter,S014,Client Management,4,1,No
E1809,Selena Camacho,S012,Project Management,1,1,Yes
E187,Jimmy Cantu,S001,JavaScript,3,4,Yes
E2399,Diamond Paul,S003,Node.js,2,3,No
E3880,John Gomez,S003,Node.js,1,2,No
E4102,Jason Moore,S007,SQL,4,4,Yes
E2158,Zachary Gonzalez,S004,Docker,3,2,No
E998,Stacie Mcintyre,S010,Big Data,5,1,Yes
E4328,Dr. George Mack,S010,Big Data,1,2,Yes
E4875,Michelle Rice,S002,React,1,3,Yes
E154,Bridget Brown,S006,Python,1,4,No
E3127,John Saunders,S004,Docker,1,1,No
E1559,David Davis DDS,S001,JavaScript,2,3,No
E3288,Stephen Guzman,S012,Project Management,5,1,Yes
E2086,Beth Hernandez,S001,JavaScript,4,4,No
E1824,Rachel Taylor,S007,SQL,3,2,Yes
E1248,Danielle Peterson,S014,Client Management,5,4,No
E3701,Lisa Tate,S012,Project Management,2,3,Yes
E3117,John Williams,S008,Machine Learning,1,3,Yes
E1579,William Davis,S011,Consulting Basics,4,1,No
E404,Joseph Kennedy,S012,Project Management,3,1,No
E1461,Christopher Smith,S004,Docker,1,1,Yes
E1823,Christopher Rogers,S015,Risk Management,4,4,Yes
E184,Justin Thompson,S014,Client Management,10,6,No
E4426,David Larsen,S004,Docker,1,1,Yes
E2320,Miguel Evans,S001,JavaScript,4,3,No
E3092,Matthew Villanueva,S004,Docker,2,1,Yes
E1904,Nicholas Banks,S010,Big Data,4,4,No
E778,Lisa Holt,S012,Project Management,1,1,Yes
E2286,Jane Pruitt,S005,HTML/CSS,3,2,No
E2684,Morgan Chandler,S009,Data Visualization,2,3,No
E2220,Peggy Rojas,S004,Docker,9,5,No
E414,Dominique Smith,S011,Consulting Basics,8,5,No
E3545,Joseph Flores,S014,Client Management,1,1,Yes
E3407,Emma Kelly,S008,Machine Learning,2,3,No
E2744,Heather Rodriguez,S004,Docker,3,2,Yes
E4062,Matthew Monroe,S002,React,2,3,Yes
E1782,Tina Lloyd,S014,Client Management,3,3,Yes
E3230,David Davis,S002,React,2,2,No
E1591,Jessica Hanson,S001,JavaScript,5,4,No
E2317,Brittany Smith,S008,Machine Learning,3,2,Yes
E454,Benjamin Hogan,S014,Client Management,1,2,Yes
E1976,John Simon,S003,Node.js,4,3,No
E4492,Jesse Thompson,S013,Financial Modeling,5,2,Yes
E238,Emily Perez,S005,HTML/CSS,10,10,Yes
E2346,Kathleen Morris,S014,Client Management,6,5,Yes
E198,Paula Schmidt,S005,HTML/CSS,3,4,Yes
E1834,Sonya Palmer,S007,SQL,8,7,No
E565,Dr. Chelsey Wallace,S010,Big Data,3,2,Yes
E4761,Toni Stephens,S014,Client Management,9,12,Yes
E500,Sheri Black,S008,Machine Learning,2,1,No
E1832,Gina Davenport,S005,HTML/CSS,2,4,Yes
E647,Dawn Thomas,S005,HTML/CSS,5,3,Yes
E2065,Matthew Thomas,S010,Big Data,4,1,Yes
E2862,Rebecca Jones,S008,Machine Learning,8,6,Yes
E3735,Michael Carter,S015,Risk Management,10,10,Yes
E4013,Anthony Dyer,S009,Data Visualization,2,3,No
E3747,Steven Suarez,S004,Docker,5,2,Yes
E1379,Meghan Smith,S011,Consulting Basics,7,7,Yes
E1518,Steven Jennings,S004,Docker,3,3,No
E3247,Deborah Lynch,S001,JavaScript,4,4,No
E405,Mr. Jason Marshall,S001,JavaScript,2,4,No
E2427,Katrina Pierce,S006,Python,2,4,Yes
E2419,Matthew King,S015,Risk Management,5,4,No
E4210,Lisa King,S001,JavaScript,4,1,Yes
E3232,Denise Terry,S011,Consulting Basics,4,3,Yes
E2718,Brandi Sandoval,S013,Financial Modeling,5,2,No
E2158,Zachary Gonzalez,S011,Consulting Basics,2,2,No
E377,Micheal Henderson,S015,Risk Management,10,11,No
E1097,Paul Myers,S006,Python,1,3,Yes
E2045,Lawrence Hernandez,S009,Data Visualization,4,1,Yes
E4995,Samantha Oconnell,S014,Client Management,5,4,Yes
E2910,Sarah Hall,S012,Project Management,5,3,No
E3311,Monique Chen,S015,Risk Management,5,1,No
E577,Vicki Peters,S010,Big Data,5,2,No
E483,Sean Lynn,S008,Machine Learning,9,7,No
E4894,Jeremy Kelly,S008,Machine Learning,3,2,Yes
E4702,Ashlee Wong,S002,React,5,1,No
E1192,Casey Perez,S003,Node.js,6,9,No
E1184,Toni Moreno,S015,Risk Management,4,3,Yes
E1255,Danny Powell,S006,Python,2,4,No
E2548,Angela Davis,S012,Project Management,5,1,Yes
E4340,Michael Maldonado,S005,HTML/CSS,4,3,No
E3244,Janet Bennett,S004,Docker,1,1,No
E3689,Julie Carroll,S009,Data Visualization,2,3,No
E2239,Joseph Avila,S002,React,3,3,No
E1270,Danielle Odonnell,S012,Project Management,3,2,No
E4191,Amanda Garrett,S009,Data Visualization,2,1,Yes
E3031,Kenneth Castillo,S003,Node.js,2,3,No
E4729,Jon Cardenas,S001,JavaScript,3,4,Yes
E1409,Ashley Klein MD,S015,Risk Management,3,4,No
E1932,Ashley Scott MD,S001,JavaScript,3,3,No
E1717,Joyce Warner,S005,HTML/CSS,5,4,Yes
E4743,Steven Smith,S005,HTML/CSS,5,4,Yes
E4867,Kimberly Owens,S003,Node.js,1,1,Yes
E3481,Richard Chandler,S013,Financial Modeling,2,3,Yes
E3639,James Sherman,S005,HTML/CSS,3,2,Yes
E986,Claudia Farmer,S002,React,3,3,Yes
E1861,Carla Davis,S008,Machine Learning,4,1,No
E1968,Tammy Berry,S008,Machine Learning,9,8,Yes
E2692,Mark Chavez,S009,Data Visualization,10,12,Yes
E4372,Edward Watson,S013,Financial Modeling,2,1,Yes
E486,Erin Williams,S009,Data Visualization,4,3,Yes
E4305,Andre Vang,S015,Risk Management,1,3,Yes
E3840,Katherine Adams,S015,Risk Management,3,3,No
E162,Alyssa Hart,S011,Consulting Basics,3,4,No
E4653,Lawrence Delacruz,S011,Consulting Basics,2,2,Yes
E4023,Hannah Hamilton,S013,Financial Modeling,1,3,No
E2354,Louis Jones,S007,SQL,2,1,Yes
E2646,Holly Bailey,S012,Project Management,4,2,No
E1112,Ashley Sanchez,S014,Client Management,2,1,No
E186,Samantha Lewis,S004,Docker,1,3,Yes
E2352,Micheal Doyle,S007,SQL,1,2,No
E1886,Jerry Trujillo,S012,Project Management,4,2,No
E2161,Anna Horne,S014,Client Management,6,7,No
E1287,Michael Smith,S010,Big Data,5,4,No
E1768,Ms. Kristen Patel,S015,Risk Management,8,6,No
E471,Jessica Perry,S009,Data Visualization,1,3,No
E3500,Brenda Little,S001,JavaScript,2,3,Yes
E295,Cheryl Escobar,S011,Consulting Basics,1,2,Yes
E374,Kevin Bennett,S005,HTML/CSS,4,1,Yes
E1984,Tricia Tucker,S001,JavaScript,4,3,No
E4120,Julie Butler,S013,Financial Modeling,2,4,No
E2761,Robert Woodard,S005,HTML/CSS,2,1,Yes
E2622,Carla Carroll,S013,Financial Modeling,4,3,No
E370,Tiffany Walker,S014,Client Management,4,4,Yes
E1903,Joan Griffin,S002,React,7,12,Yes
E4958,April Davis,S008,Machine Learning,1,2,Yes
E2337,Christian Benson,S006,Python,1,3,No
E1131,Cindy Gordon,S006,Python,7,12,Yes
E3403,Jennifer Mitchell,S010,Big Data,5,2,Yes
E3528,Holly Phillips,S011,Consulting Basics,4,4,No
E3012,Nathan Young,S002,React,2,1,Yes
E4090,Kimberly Adams,S003,Node.js,6,10,No
E2549,Kimberly Dixon,S015,Risk Management,1,2,No
E2545,Stephanie Bennett,S004,Docker,4,1,Yes
E028,Barry Johnson,S012,Project Management,5,3,Yes
E3001,Larry Roth,S001,JavaScript,2,3,No
E2616,Dr. Julia Kelly,S012,Project Management,3,2,Yes
E195,Megan Padilla,S009,Data Visualization,5,3,Yes
E3924,Brett Jones,S002,React,6,5,Yes
E1872,Danielle Miller MD,S005,HTML/CSS,9,11,Yes
E471,Jessica Perry,S001,JavaScript,1,4,No
E4643,Laura Herrera,S014,Client Management,2,2,No
E4782,Jessica Huff,S006,Python,4,2,No
E4955,Nicholas Perez,S013,Financial Modeling,1,2,Yes
E522,Christopher Mendoza,S012,Project Management,10,8,No
E1141,Mr. Bradley Lyons,S010,Big Data,3,4,Yes
E510,Michael Valdez,S010,Big Data,2,2,Yes
E4693,Kimberly Martin,S002,React,5,2,No
E2918,Robert Petersen,S014,Client Management,9,8,Yes
E4212,Mark Raymond,S008,Machine Learning,4,2,Yes
E2217,Megan Williams,S004,Docker,2,4,No
E4679,Donna Davis,S004,Docker,5,4,No
E2055,Mary Thompson,S006,Python,5,1,Yes
E3015,Keith Ortiz,S005,HTML/CSS,3,4,Yes
E4660,Roy Wolf,S011,Consulting Basics,1,4,No
E2822,Theresa Castro,S002,React,5,4,No
E2220,Peggy Rojas,S011,Consulting Basics,1,3,Yes
E4273,Brendan Yu,S006,Python,10,9,No
E880,Joseph Shaffer,S013,Financial Modeling,8,5,No
E4566,Kelly Winters,S013,Financial Modeling,2,3,No
E4560,Linda Davis,S005,HTML/CSS,3,1,Yes
E2323,James Cunningham,S012,Project Management,8,5,No
E3293,Ryan Jackson,S013,Financial Modeling,2,1,Yes
E1636,Anne Massey,S015,Risk Management,9,7,No
E4209,Stacy Baker,S002,React,7,8,Yes
E4263,Chelsea Alexander,S002,React,4,3,Yes
E4794,Lisa Hall,S002,React,3,1,Yes
E030,Dylan Beard,S005,HTML/CSS,3,4,No
E4525,Justin Oconnor,S003,Node.js,7,12,No
E2978,Antonio Mcdaniel,S011,Consulting Basics,3,3,No
E1750,Lauren Allen,S004,Docker,2,2,No
E233,Courtney Stevens,S001,JavaScript,2,2,Yes
E1024,Karla Hawkins,S005,HTML/CSS,4,3,Yes
E1709,Christine Dalton,S011,Consulting Basics,5,1,No
E3560,Chelsea Curtis,S010,Big Data,4,4,Yes
E4137,Monique Jones,S008,Machine Learning,1,1,Yes
E4016,Nicole Torres,S006,Python,3,4,No
E1571,Joseph Clark,S012,Project Management,2,1,No
E4092,Todd King,S006,Python,9,8,Yes
E4274,Michael Weiss,S008,Machine Learning,1,2,Yes
E4217,Angela Long,S004,Docker,1,2,Yes
E2512,Dustin Harris,S007,SQL,4,2,No
E3984,Lorraine Wall,S010,Big Data,10,7,No
E1464,Tyrone Delacruz,S015,Risk Management,8,10,No
E2396,Steven Harvey,S006,Python,6,5,No
E2268,Shawn Carter,S012,Project Management,4,1,No
E3581,Jesse Mullen,S007,SQL,1,3,Yes
E3814,Richard Diaz,S010,Big Data,2,4,No
E2225,Lori Evans,S004,Docker,1,4,Yes
E1936,Amber Wallace,S005,HTML/CSS,3,1,Yes
E609,Kyle Mcintosh,S014,Client Management,4,1,Yes
E2010,Hannah Reynolds,S003,Node.js,4,4,Yes
E3501,Ronald Jackson,S011,Consulting Basics,5,3,No
E4679,Donna Davis,S001,JavaScript,3,2,Yes
E3742,Derek Long,S011,Consulting Basics,3,2,No
E2724,Jacob Rogers DDS,S006,Python,5,4,No
E4787,Taylor Chambers,S013,Financial Modeling,4,4,Yes
