emp_id,emp_name,no_of_projects,manager_rating,promotion
E001,Sharon Burns,28,1,1
E002,Hannah Sanchez,21,4,1
E003,Larry Waters,13,2,0
E004,Angela Delacruz,2,4,0
E005,John Cook,22,4,1
E006,Keith Webb,25,1,1
E007,John Compton,25,3,1
E008,Nicholas Miller,17,4,1
E009,Alisha Brown,30,1,1
E010,Kelly Taylor,3,5,1
E011,Christopher Green,6,1,1
E012,Angela West,19,5,1
E013,Stephanie Martinez,19,5,1
E014,Catherine Jones,29,4,1
E015,Kelly Suarez,25,3,1
E016,Adam Mccoy,17,4,1
E017,Travis Moore,13,4,1
E018,Patrick Little,13,2,1
E019,Alexandria Smith,9,2,0
E020,Aaron Miller,15,5,1
E021,Laura Clarke,11,2,1
E022,Benjamin Johnston,29,5,1
E023,Laurie Johnson,24,2,0
E024,Ryan Mullins,23,1,0
E025,Tara Robertson,18,2,0
E026,Heather Park,29,3,1
E027,Jesus Davies,16,4,1
E028,Barry Johnson,7,3,0
E029,Felicia Case,19,5,1
E030,Dylan Beard,10,5,1
E031,Wendy Pruitt,21,3,1
E032,David Taylor,24,3,1
E033,Jason Stein,4,3,1
E034,Larry Chen,20,2,1
E035,Tiffany Austin,7,1,1
E036,Andrea Johnson,25,4,1
E037,Karen Lewis,13,3,1
E038,Gregory Baker,28,2,1
E039,Audrey Sanchez,20,3,1
E040,Grant Sharp,26,3,1
E041,Beth Howell,3,3,1
E042,Joshua Davis,27,2,0
E043,Grace Aguilar,8,1,0
E044,Alison Wilson,6,4,0
E045,Jason Cooper,8,3,1
E046,Daniel Shelton,15,3,1
E047,Mary Hodge,12,5,1
E048,Frederick Leach,3,2,1
E049,Michael Diaz,22,3,1
E050,Kathryn Dunn,19,4,1
E051,Charles Anderson,21,5,1
E052,Adam Black,21,2,1
E053,Timothy Miller,7,2,1
E054,Kelly Cuevas,26,2,0
E055,David Webster,29,4,1
E056,Katherine Johnson,14,5,1
E057,Stephen Hartman,10,1,0
E058,Adam Henson,23,5,1
E059,Meredith Rowe,14,1,1
E060,Daniel Richards,19,4,1
E061,Sarah Nichols,6,4,1
E062,Diane Coffey,24,3,1
E063,Shelley Schneider,10,2,0
E064,Sarah Evans,14,1,1
E065,Melissa Cooper,1,2,0
E066,Marcus Griffin,19,1,1
E067,Debra Pena,4,2,0
E068,Dustin Erickson,25,5,1
E069,Jared Stevenson,9,3,1
E070,Melanie Gonzalez,21,2,1
E071,Jill Gonzalez,10,2,0
E072,Donald Velez,30,4,1
E073,Ernest Thompson,2,3,0
E074,Kristen Jacobs,19,5,1
E075,Stephen Glass,23,5,1
E076,Matthew Roy,29,4,1
E077,Eric Duncan,24,5,1
E078,Meredith Stuart,19,4,1
E079,Craig Aguilar,4,3,1
E080,Melissa Wise,29,4,1
E081,Carol Ross,4,2,1
E082,Steven Phillips,7,4,0
E083,Joseph Ball,9,4,1
E084,Renee Walker,19,1,0
E085,Thomas Walker,7,1,0
E086,Dr. Sarah Martinez,19,4,1
E087,Sara Price,20,1,1
E088,Fred Figueroa,22,3,1
E089,Nathan Warren,2,4,0
E090,Reginald Rush Jr.,23,3,1
E091,Jim Gill,6,3,1
E092,Larry Lewis,2,4,0
E093,Emily Miller,5,3,0
E094,Aaron Brooks,9,3,1
E095,Lisa Steele,6,3,0
E096,Erica Lang,4,2,0
E097,Brent Phillips,7,4,0
E098,Matthew Perry,5,4,1
E099,Jeff Smith,28,5,1
E100,William Sanchez,9,3,1
E101,Patricia Smith,1,4,0
E102,Michelle Knight,30,4,1
E103,Frank Johnston,16,3,1
E104,Michelle Ayala,30,1,0
E105,Chelsea Anderson,11,3,1
E106,Sean Chavez,26,3,1
E107,Richard Pittman,21,5,1
E108,Francisco Brown,11,3,1
E109,Kevin Lopez,16,5,1
E110,Laura Medina,1,2,1
E111,Susan Levy,22,3,1
E112,Tiffany Morton,18,3,1
E113,Ethan Cruz,27,5,1
E114,Eric Black,6,2,0
E115,Jose Chase,25,1,1
E116,Allison Bryant,1,1,1
E117,Felicia Bowen,5,3,1
E118,Kenneth Harris,25,1,0
E119,Nicolas Hogan,20,2,1
E120,Brad Brown,4,1,0
E121,Danielle Ingram,23,4,1
E122,Darrell Ray,16,5,1
E123,Jerome Salas,10,4,1
E124,Timothy Wilson,11,2,1
E125,Damon Larson,11,4,1
E126,Mrs. Jamie Foley,7,1,0
E127,Stephanie Brown,23,5,1
E128,Michael Garcia,9,4,1
E129,John Moore,9,4,1
E130,Mallory Taylor,21,4,1
E131,Jason Villarreal,14,3,1
E132,Paula Camacho,9,4,1
E133,Darryl Torres,8,5,1
E134,Jon Conley,14,2,0
E135,Joseph Collins,2,1,0
E136,Roy Baker,7,2,0
E137,Dawn Munoz,25,4,1
E138,Jodi Herring,14,1,0
E139,Theresa Sutton,9,5,1
E140,John Gregory,29,2,1
E141,Emily Solomon,20,1,1
E142,Robert Moore,23,5,1
E143,Christopher Stuart,23,2,1
E144,Randall Wallace,4,2,0
E145,Michael Roy,19,4,1
E146,Andrew Glover,1,5,1
E147,Mark Baker,28,3,1
E148,Mary Jenkins,20,2,0
E149,Whitney Brown,12,4,1
E150,Ryan Reynolds,5,5,0
E151,Sean Price,28,1,1
E152,Mrs. Brenda Avila,12,1,1
E153,Luis Wilson,15,2,0
E154,Bridget Brown,11,3,1
E155,Dana Clayton,3,5,1
E156,Sandra Braun,19,3,1
E157,Steven Rodriguez,20,3,1
E158,Brandon Pham,20,5,1
E159,Amanda Brown,19,2,1
E160,Michael Roberts,25,2,0
E161,Jade Kent,11,2,1
E162,Alyssa Hart,22,2,1
E163,Lindsay Warren,17,4,1
E164,Joshua Daugherty,11,3,1
E165,Samantha Choi,3,1,1
E166,John Hill,15,4,1
E167,Curtis Cole,19,4,1
E168,Jordan Miller,8,4,1
E169,John Newman,14,2,1
E170,Larry Hoffman,16,1,1
E171,Antonio Hess,6,5,0
E172,Jason Wade,9,4,1
E173,Brandon Jordan,18,5,1
E174,Jeremy Hanson,8,3,1
E175,Travis Cain,28,3,1
E176,Zachary Maynard,10,3,1
E177,Antonio White,17,1,1
E178,Lauren Gonzalez,5,2,0
E179,Matthew Osborne,20,1,1
E180,Patrick Bennett,14,1,1
E181,Jason Adams,7,1,1
E182,Gregory Sanchez,22,5,1
E183,Jessica Rios,7,5,0
E184,Justin Thompson,21,5,1
E185,Darryl Cox,5,1,1
E186,Samantha Lewis,16,2,0
E187,Jimmy Cantu,25,3,1
E188,Jennifer Bates,14,2,1
E189,Dr. Alec Hernandez MD,3,2,0
E190,Mark Chavez,13,4,1
E191,Jeffrey Hampton,30,4,1
E192,Brenda Murphy,5,5,0
E193,Austin Casey,23,2,0
E194,Douglas Rose,17,1,0
E195,Megan Padilla,14,3,1
E196,James Williams,3,2,1
E197,Anthony Malone,27,3,1
E198,Paula Schmidt,19,1,1
E199,Stephen Davis,21,2,0
E200,Eric Soto,1,2,0
E201,Ian Juarez,9,4,1
E202,Ronald Fernandez,8,2,1
E203,Lisa Marshall,30,3,1
E204,Jeremy White,8,3,1
E205,Miranda Vaughn,28,3,1
E206,Joshua Munoz,8,4,1
E207,Sarah Steele,5,5,0
E208,Donna Sullivan,18,4,1
E209,Samantha Hall,30,1,1
E210,Eduardo Chang,15,2,1
E211,Erin Heath,4,1,1
E212,Juan Ho,23,3,1
E213,Susan Werner,29,1,1
E214,Christopher Webb,17,4,1
E215,Kristin Trujillo,20,1,0
E216,Barbara Hernandez,30,1,1
E217,Stephanie Maynard,24,2,1
E218,Lisa Parker,30,2,0
E219,Amy Carter,29,5,1
E220,Terry Thompson,13,4,1
E221,Jordan Spencer,20,3,1
E222,Jennifer Robinson,17,4,1
E223,Andrew Mendoza,11,5,1
E224,Stephanie Rowe,6,3,1
E225,Carol Lawson,25,2,1
E226,Lawrence Chapman,4,5,0
E227,Hector Ellis,18,1,0
E228,Douglas Lee,8,5,1
E229,Linda Shepard,21,1,1
E230,John Gordon,23,2,1
E231,Jason Clark,13,1,1
E232,Cory Murray,5,2,0
E233,Courtney Stevens,11,2,0
E234,Deborah Blackwell,30,2,1
E235,Edward Cook,10,5,1
E236,James Jones,7,4,0
E237,Eric Nguyen,14,5,1
E238,Emily Perez,2,5,0
